nodeID,newID,nodeType,nodeValue
35,1,Genetic_Algorithms,20
40,2,Genetic_Algorithms,17
114,3,Reinforcement_Learning,22
117,4,Reinforcement_Learning,21
128,5,Reinforcement_Learning,23
130,6,Reinforcement_Learning,13
164,7,Theory,19
288,8,Reinforcement_Learning,19
424,9,Rule_Learning,5
434,10,Reinforcement_Learning,18
463,11,Case_Based,7
504,12,Probabilistic_Methods,21
506,13,Probabilistic_Methods,21
887,14,Genetic_Algorithms,18
906,15,Neural_Networks,19
910,16,Neural_Networks,23
936,17,Case_Based,3
940,18,Case_Based,18
941,19,Case_Based,15
943,20,Case_Based,17
1026,21,Genetic_Algorithms,22
1033,22,Genetic_Algorithms,15
1034,23,Genetic_Algorithms,17
1035,24,Reinforcement_Learning,11
1213,25,Rule_Learning,4
1237,26,Neural_Networks,18
1246,27,Reinforcement_Learning,23
1272,28,Theory,17
1365,29,Neural_Networks,16
1385,30,Neural_Networks,22
1481,31,Case_Based,23
1688,32,Genetic_Algorithms,25
1694,33,Genetic_Algorithms,22
1717,34,Probabilistic_Methods,20
1786,35,Rule_Learning,21
1817,36,Genetic_Algorithms,26
1919,37,Probabilistic_Methods,23
1949,38,Case_Based,24
1951,39,Case_Based,5
1952,40,Case_Based,20
1953,41,Case_Based,19
1955,42,Case_Based,23
1956,43,Case_Based,3
1959,44,Case_Based,24
1997,45,Probabilistic_Methods,24
1999,46,Theory,21
2354,47,Theory,8
2440,48,Rule_Learning,16
2653,49,Theory,18
2654,50,Theory,20
2658,51,Neural_Networks,23
2663,52,Neural_Networks,20
2665,53,Neural_Networks,22
2695,54,Neural_Networks,6
2696,55,Neural_Networks,19
2698,56,Neural_Networks,7
2702,57,Neural_Networks,22
3084,58,Case_Based,25
3085,59,Case_Based,22
3095,60,Case_Based,24
3097,61,Case_Based,22
3101,62,Case_Based,21
3112,63,Case_Based,24
3187,64,Probabilistic_Methods,18
3191,65,Probabilistic_Methods,23
3192,66,Probabilistic_Methods,7
3217,67,Theory,19
3218,68,Rule_Learning,18
3220,69,Neural_Networks,24
3222,70,Case_Based,17
3223,71,Theory,23
3229,72,Neural_Networks,22
3231,73,Theory,19
3232,74,Theory,22
3233,75,Probabilistic_Methods,19
3235,76,Probabilistic_Methods,5
3236,77,Theory,21
3237,78,Probabilistic_Methods,19
3240,79,Theory,22
3243,80,Theory,22
3828,81,Case_Based,22
3932,82,Case_Based,23
4274,83,Case_Based,15
4329,84,Probabilistic_Methods,17
4330,85,Probabilistic_Methods,16
4335,86,Probabilistic_Methods,12
4553,87,Rule_Learning,15
4584,88,Reinforcement_Learning,18
4637,89,Theory,24
4649,90,Rule_Learning,20
4660,91,Theory,21
4804,92,Theory,18
4878,93,Case_Based,22
4983,94,Genetic_Algorithms,7
5038,95,Theory,21
5055,96,Theory,5
5062,97,Case_Based,25
5064,98,Case_Based,11
5069,99,Case_Based,23
5075,100,Case_Based,21
5086,101,Probabilistic_Methods,25
5194,102,Neural_Networks,21
5348,103,Neural_Networks,17
5454,104,Neural_Networks,23
5462,105,Neural_Networks,23
5600,106,Case_Based,19
5869,107,Neural_Networks,23
5959,108,Case_Based,17
5966,109,Genetic_Algorithms,23
6125,110,Theory,18
6130,111,Neural_Networks,4
6151,112,Reinforcement_Learning,23
6152,113,Reinforcement_Learning,21
6155,114,Reinforcement_Learning,23
6163,115,Reinforcement_Learning,1
6169,116,Reinforcement_Learning,20
6170,117,Reinforcement_Learning,24
6184,118,Reinforcement_Learning,5
6196,119,Reinforcement_Learning,18
6209,120,Reinforcement_Learning,26
6210,121,Reinforcement_Learning,23
6213,122,Reinforcement_Learning,24
6214,123,Reinforcement_Learning,20
6215,124,Reinforcement_Learning,21
6216,125,Reinforcement_Learning,18
6217,126,Reinforcement_Learning,24
6220,127,Reinforcement_Learning,22
6224,128,Reinforcement_Learning,24
6238,129,Theory,17
6311,130,Theory,6
6318,131,Case_Based,25
6334,132,Case_Based,19
6343,133,Case_Based,6
6344,134,Case_Based,25
6346,135,Case_Based,21
6378,136,Reinforcement_Learning,23
6385,137,Reinforcement_Learning,24
6539,138,Theory,17
6639,139,Rule_Learning,23
6741,140,Theory,22
6767,141,Case_Based,24
6771,142,Theory,21
6775,143,Neural_Networks,21
6782,144,Theory,15
6784,145,Neural_Networks,6
6786,146,Probabilistic_Methods,16
6814,147,Probabilistic_Methods,19
6818,148,Probabilistic_Methods,20
6898,149,Neural_Networks,16
6910,150,Neural_Networks,18
6913,151,Probabilistic_Methods,15
6917,152,Rule_Learning,19
6923,153,Rule_Learning,14
6925,154,Neural_Networks,24
6935,155,Rule_Learning,20
6939,156,Rule_Learning,10
6941,157,Rule_Learning,25
7022,158,Neural_Networks,18
7032,159,Probabilistic_Methods,19
7041,160,Neural_Networks,14
7047,161,Reinforcement_Learning,6
7272,162,Neural_Networks,24
7276,163,Neural_Networks,21
7296,164,Neural_Networks,20
7297,165,Neural_Networks,19
7419,166,Reinforcement_Learning,24
7430,167,Reinforcement_Learning,12
7432,168,Reinforcement_Learning,20
7532,169,Neural_Networks,18
7537,170,Neural_Networks,23
7867,171,Case_Based,26
8079,172,Theory,4
8213,173,Reinforcement_Learning,24
8224,174,Theory,26
8581,175,Neural_Networks,24
8591,176,Rule_Learning,22
8594,177,Rule_Learning,21
8617,178,Neural_Networks,20
8619,179,Neural_Networks,19
8687,180,Rule_Learning,18
8696,181,Theory,18
8699,182,Theory,20
8703,183,Rule_Learning,18
8766,184,Rule_Learning,21
8821,185,Case_Based,20
8832,186,Case_Based,18
8865,187,Genetic_Algorithms,23
8872,188,Reinforcement_Learning,16
8874,189,Genetic_Algorithms,2
8875,190,Genetic_Algorithms,24
8961,191,Reinforcement_Learning,5
9513,192,Theory,18
9515,193,Theory,22
9559,194,Rule_Learning,19
9581,195,Probabilistic_Methods,15
9586,196,Genetic_Algorithms,20
9708,197,Case_Based,19
9716,198,Theory,19
10169,199,Theory,22
10174,200,Theory,11
10177,201,Theory,24
10183,202,Case_Based,18
10186,203,Theory,15
10430,204,Case_Based,5
10435,205,Case_Based,17
10531,206,Neural_Networks,6
10793,207,Theory,11
10796,208,Case_Based,18
10798,209,Case_Based,20
10981,210,Neural_Networks,17
11093,211,Probabilistic_Methods,24
11148,212,Rule_Learning,6
11325,213,Rule_Learning,22
11326,214,Theory,21
11335,215,Rule_Learning,19
11337,216,Theory,21
11339,217,Theory,23
11342,218,Theory,19
12155,219,Theory,19
12158,220,Theory,18
12165,221,Theory,24
12169,222,Theory,23
12182,223,Theory,20
12194,224,Theory,22
12195,225,Theory,22
12197,226,Theory,24
12198,227,Theory,17
12199,228,Theory,20
12210,229,Theory,16
12211,230,Theory,6
12238,231,Theory,19
12247,232,Theory,19
12275,233,Neural_Networks,23
12330,234,Neural_Networks,18
12337,235,Neural_Networks,24
12347,236,Neural_Networks,22
12350,237,Theory,23
12359,238,Neural_Networks,20
12439,239,Neural_Networks,12
12558,240,Genetic_Algorithms,21
12576,241,Genetic_Algorithms,23
12631,242,Neural_Networks,16
12638,243,Neural_Networks,27
12946,244,Probabilistic_Methods,8
12960,245,Theory,21
13024,246,Rule_Learning,23
13136,247,Neural_Networks,20
13193,248,Reinforcement_Learning,21
13195,249,Reinforcement_Learning,21
13205,250,Reinforcement_Learning,23
13208,251,Reinforcement_Learning,20
13212,252,Neural_Networks,21
13213,253,Reinforcement_Learning,17
13269,254,Probabilistic_Methods,23
13652,255,Neural_Networks,18
13654,256,Neural_Networks,20
13656,257,Neural_Networks,16
13658,258,Neural_Networks,18
13686,259,Neural_Networks,19
13717,260,Rule_Learning,17
13885,261,Neural_Networks,24
13917,262,Reinforcement_Learning,8
13960,263,Reinforcement_Learning,19
13966,264,Reinforcement_Learning,22
13972,265,Reinforcement_Learning,18
13982,266,Theory,17
14062,267,Genetic_Algorithms,21
14083,268,Neural_Networks,23
14090,269,Probabilistic_Methods,19
14428,270,Probabilistic_Methods,17
14429,271,Probabilistic_Methods,19
14430,272,Probabilistic_Methods,25
14431,273,Probabilistic_Methods,20
14529,274,Case_Based,21
14531,275,Case_Based,6
14545,276,Neural_Networks,16
14549,277,Theory,18
14807,278,Theory,21
15076,279,Neural_Networks,8
15429,280,Theory,21
15431,281,Theory,7
15670,282,Genetic_Algorithms,19
15889,283,Case_Based,4
15892,284,Case_Based,18
15984,285,Probabilistic_Methods,24
15987,286,Probabilistic_Methods,19
16008,287,Probabilistic_Methods,20
16437,288,Neural_Networks,20
16451,289,Neural_Networks,17
16461,290,Neural_Networks,3
16470,291,Neural_Networks,20
16471,292,Neural_Networks,23
16474,293,Neural_Networks,24
16476,294,Neural_Networks,20
16485,295,Neural_Networks,21
16819,296,Probabilistic_Methods,2
16843,297,Probabilistic_Methods,19
17201,298,Reinforcement_Learning,22
17208,299,Reinforcement_Learning,24
17242,300,Probabilistic_Methods,15
17363,301,Neural_Networks,23
17476,302,Reinforcement_Learning,5
17477,303,Genetic_Algorithms,21
17488,304,Reinforcement_Learning,21
17798,305,Case_Based,21
17811,306,Genetic_Algorithms,19
17821,307,Reinforcement_Learning,21
18251,308,Case_Based,22
18313,309,Reinforcement_Learning,18
18532,310,Neural_Networks,20
18536,311,Neural_Networks,16
18582,312,Genetic_Algorithms,14
18615,313,Rule_Learning,3
18619,314,Theory,17
18770,315,Probabilistic_Methods,18
18773,316,Probabilistic_Methods,26
18774,317,Probabilistic_Methods,22
18777,318,Probabilistic_Methods,20
18781,319,Theory,19
18785,320,Probabilistic_Methods,21
18811,321,Probabilistic_Methods,26
18812,322,Probabilistic_Methods,22
18815,323,Case_Based,20
18832,324,Reinforcement_Learning,25
18833,325,Reinforcement_Learning,20
18834,326,Reinforcement_Learning,18
19045,327,Genetic_Algorithms,24
19231,328,Theory,13
19621,329,Neural_Networks,23
19697,330,Neural_Networks,22
20178,331,Case_Based,8
20179,332,Case_Based,25
20180,333,Case_Based,19
20193,334,Case_Based,22
20526,335,Reinforcement_Learning,16
20528,336,Case_Based,20
20534,337,Reinforcement_Learning,16
20584,338,Neural_Networks,22
20592,339,Neural_Networks,7
20593,340,Neural_Networks,21
20601,341,Theory,16
20602,342,Theory,20
20821,343,Rule_Learning,20
20833,344,Case_Based,4
20850,345,Theory,9
20857,346,Rule_Learning,23
20920,347,Probabilistic_Methods,6
20923,348,Probabilistic_Methods,6
20924,349,Probabilistic_Methods,20
20942,350,Theory,13
20972,351,Reinforcement_Learning,23
22229,352,Genetic_Algorithms,17
22241,353,Genetic_Algorithms,23
22386,354,Case_Based,22
22431,355,Rule_Learning,22
22563,356,Neural_Networks,20
22564,357,Case_Based,15
22566,358,Case_Based,19
22835,359,Neural_Networks,17
22869,360,Case_Based,25
22874,361,Case_Based,19
22875,362,Case_Based,21
22876,363,Case_Based,18
22883,364,Theory,19
22886,365,Case_Based,13
23069,366,Probabilistic_Methods,20
23070,367,Probabilistic_Methods,16
23116,368,Theory,20
23258,369,Reinforcement_Learning,21
23448,370,Neural_Networks,19
23502,371,Neural_Networks,20
23507,372,Neural_Networks,23
23545,373,Theory,23
23546,374,Rule_Learning,23
23738,375,Theory,22
23774,376,Reinforcement_Learning,20
24043,377,Neural_Networks,22
24476,378,Probabilistic_Methods,20
24530,379,Reinforcement_Learning,21
24966,380,Theory,23
24974,381,Neural_Networks,19
25181,382,Neural_Networks,25
25184,383,Neural_Networks,14
25413,384,Rule_Learning,27
25702,385,Neural_Networks,5
25772,386,Neural_Networks,24
25791,387,Neural_Networks,23
25794,388,Neural_Networks,19
25805,389,Theory,5
26850,390,Neural_Networks,20
27174,391,Neural_Networks,3
27199,392,Theory,18
27203,393,Theory,6
27230,394,Rule_Learning,23
27241,395,Theory,22
27243,396,Theory,16
27246,397,Neural_Networks,20
27249,398,Theory,14
27250,399,Theory,17
27510,400,Theory,23
27514,401,Neural_Networks,6
27530,402,Neural_Networks,24
27531,403,Neural_Networks,24
27535,404,Probabilistic_Methods,23
27543,405,Neural_Networks,23
27606,406,Theory,9
27612,407,Theory,22
27623,408,Neural_Networks,19
27627,409,Theory,25
27631,410,Case_Based,18
27632,411,Reinforcement_Learning,18
27895,412,Theory,23
28026,413,Case_Based,19
28202,414,Reinforcement_Learning,17
28227,415,Reinforcement_Learning,20
28230,416,Probabilistic_Methods,10
28249,417,Reinforcement_Learning,26
28254,418,Neural_Networks,21
28265,419,Case_Based,20
28267,420,Case_Based,17
28278,421,Reinforcement_Learning,7
28287,422,Reinforcement_Learning,17
28290,423,Reinforcement_Learning,25
28336,424,Genetic_Algorithms,19
28350,425,Reinforcement_Learning,18
28359,426,Reinforcement_Learning,15
28385,427,Reinforcement_Learning,20
28387,428,Reinforcement_Learning,4
28389,429,Reinforcement_Learning,15
28412,430,Reinforcement_Learning,22
28447,431,Case_Based,22
28456,432,Theory,22
28471,433,Reinforcement_Learning,19
28473,434,Reinforcement_Learning,11
28485,435,Reinforcement_Learning,21
28487,436,Reinforcement_Learning,22
28489,437,Reinforcement_Learning,23
28491,438,Reinforcement_Learning,18
28504,439,Reinforcement_Learning,16
28542,440,Reinforcement_Learning,8
28632,441,Theory,15
28640,442,Theory,19
28641,443,Theory,19
28649,444,Theory,18
28674,445,Theory,21
28851,446,Genetic_Algorithms,23
28957,447,Probabilistic_Methods,16
28964,448,Probabilistic_Methods,24
29492,449,Neural_Networks,25
29708,450,Neural_Networks,18
29723,451,Probabilistic_Methods,23
29738,452,Probabilistic_Methods,20
30817,453,Neural_Networks,15
30895,454,Theory,23
30901,455,Theory,24
30934,456,Theory,17
30973,457,Neural_Networks,23
31043,458,Neural_Networks,18
31055,459,Neural_Networks,18
31083,460,Theory,20
31097,461,Case_Based,20
31105,462,Neural_Networks,23
31336,463,Neural_Networks,10
31349,464,Neural_Networks,20
31353,465,Neural_Networks,20
31479,466,Probabilistic_Methods,18
31483,467,Probabilistic_Methods,19
31489,468,Probabilistic_Methods,21
31769,469,Neural_Networks,22
31863,470,Probabilistic_Methods,17
31927,471,Neural_Networks,14
31932,472,Neural_Networks,21
32083,473,Neural_Networks,23
32260,474,Theory,22
32276,475,Theory,17
32688,476,Neural_Networks,16
32698,477,Probabilistic_Methods,19
32872,478,Reinforcement_Learning,22
33013,479,Reinforcement_Learning,21
33231,480,Probabilistic_Methods,9
33301,481,Case_Based,4
33303,482,Case_Based,13
33325,483,Theory,21
33412,484,Neural_Networks,18
33818,485,Neural_Networks,22
33823,486,Neural_Networks,24
33895,487,Genetic_Algorithms,15
33904,488,Genetic_Algorithms,3
33907,489,Genetic_Algorithms,18
34082,490,Probabilistic_Methods,21
34257,491,Neural_Networks,25
34263,492,Neural_Networks,18
34266,493,Neural_Networks,24
34315,494,Neural_Networks,5
34355,495,Neural_Networks,5
34708,496,Neural_Networks,20
34961,497,Neural_Networks,20
34979,498,Theory,12
35061,499,Genetic_Algorithms,20
35070,500,Case_Based,20
35335,501,Neural_Networks,21
35343,502,Neural_Networks,20
35490,503,Case_Based,19
35778,504,Probabilistic_Methods,23
35797,505,Neural_Networks,20
35852,506,Reinforcement_Learning,25
35854,507,Theory,22
35863,508,Reinforcement_Learning,16
35905,509,Neural_Networks,22
35922,510,Probabilistic_Methods,19
36131,511,Probabilistic_Methods,3
36140,512,Theory,20
36145,513,Neural_Networks,19
36162,514,Probabilistic_Methods,19
36167,515,Reinforcement_Learning,19
36620,516,Case_Based,21
36802,517,Probabilistic_Methods,19
37483,518,Case_Based,20
37541,519,Theory,11
37879,520,Probabilistic_Methods,7
37884,521,Probabilistic_Methods,3
37888,522,Probabilistic_Methods,18
37998,523,Rule_Learning,3
38000,524,Rule_Learning,5
38205,525,Genetic_Algorithms,23
38480,526,Reinforcement_Learning,20
38537,527,Probabilistic_Methods,11
38722,528,Theory,22
38771,529,Neural_Networks,17
38829,530,Case_Based,14
38839,531,Case_Based,2
38845,532,Case_Based,10
38846,533,Case_Based,4
39124,534,Case_Based,17
39126,535,Probabilistic_Methods,27
39127,536,Rule_Learning,21
39130,537,Case_Based,7
39131,538,Case_Based,5
39165,539,Probabilistic_Methods,4
39199,540,Neural_Networks,22
39210,541,Neural_Networks,19
39403,542,Reinforcement_Learning,14
39474,543,Genetic_Algorithms,21
39890,544,Probabilistic_Methods,22
39904,545,Neural_Networks,18
40124,546,Theory,19
40125,547,Probabilistic_Methods,2
40131,548,Neural_Networks,20
40135,549,Neural_Networks,20
40151,550,Theory,20
40583,551,Probabilistic_Methods,5
40605,552,Probabilistic_Methods,20
40886,553,Neural_Networks,12
40922,554,Case_Based,23
41216,555,Neural_Networks,20
41417,556,Case_Based,23
41666,557,Theory,25
41714,558,Genetic_Algorithms,23
41732,559,Reinforcement_Learning,6
42156,560,Neural_Networks,22
42207,561,Theory,4
42209,562,Theory,24
42221,563,Theory,23
42847,564,Neural_Networks,20
42848,565,Genetic_Algorithms,22
43165,566,Neural_Networks,23
43186,567,Neural_Networks,17
43639,568,Neural_Networks,25
43698,569,Neural_Networks,19
44017,570,Theory,21
44121,571,Probabilistic_Methods,19
44368,572,Genetic_Algorithms,7
44455,573,Genetic_Algorithms,20
44514,574,Neural_Networks,18
45052,575,Probabilistic_Methods,4
45061,576,Theory,22
45188,577,Theory,20
45189,578,Theory,22
45212,579,Neural_Networks,20
45533,580,Neural_Networks,20
45599,581,Genetic_Algorithms,23
45603,582,Reinforcement_Learning,18
45605,583,Genetic_Algorithms,15
46079,584,Genetic_Algorithms,19
46431,585,Neural_Networks,19
46452,586,Rule_Learning,15
46468,587,Probabilistic_Methods,11
46470,588,Theory,6
46476,589,Rule_Learning,20
46491,590,Theory,10
46500,591,Theory,18
46501,592,Theory,20
46536,593,Neural_Networks,3
46547,594,Theory,6
46887,595,Neural_Networks,17
47570,596,Case_Based,22
47682,597,Neural_Networks,23
47683,598,Case_Based,19
47684,599,Case_Based,21
47839,600,Reinforcement_Learning,19
48066,601,Theory,22
48075,602,Rule_Learning,18
48550,603,Neural_Networks,22
48555,604,Neural_Networks,20
48764,605,Reinforcement_Learning,18
48766,606,Genetic_Algorithms,23
48768,607,Reinforcement_Learning,18
48781,608,Genetic_Algorithms,17
49482,609,Neural_Networks,22
49660,610,Theory,5
49720,611,Probabilistic_Methods,8
49753,612,Probabilistic_Methods,19
49811,613,Theory,23
49843,614,Rule_Learning,17
49844,615,Rule_Learning,20
49847,616,Rule_Learning,19
49895,617,Rule_Learning,17
50336,618,Probabilistic_Methods,22
50337,619,Probabilistic_Methods,22
50354,620,Neural_Networks,2
50381,621,Theory,22
50807,622,Genetic_Algorithms,20
50838,623,Neural_Networks,21
50980,624,Case_Based,19
51045,625,Probabilistic_Methods,18
51049,626,Probabilistic_Methods,25
51052,627,Probabilistic_Methods,22
51180,628,Theory,19
51831,629,Neural_Networks,24
51834,630,Theory,21
51866,631,Theory,11
51879,632,Probabilistic_Methods,24
51909,633,Rule_Learning,20
51934,634,Neural_Networks,5
52000,635,Neural_Networks,24
52003,636,Neural_Networks,20
52007,637,Neural_Networks,19
52515,638,Probabilistic_Methods,24
52784,639,Theory,9
52835,640,Rule_Learning,25
52847,641,Theory,19
53942,642,Theory,25
54129,643,Genetic_Algorithms,22
54131,644,Genetic_Algorithms,19
54132,645,Genetic_Algorithms,21
54550,646,Case_Based,17
54844,647,Theory,23
55403,648,Rule_Learning,21
55770,649,Case_Based,2
55801,650,Case_Based,5
55968,651,Reinforcement_Learning,21
56112,652,Genetic_Algorithms,13
56115,653,Genetic_Algorithms,4
56119,654,Genetic_Algorithms,16
56167,655,Case_Based,20
56708,656,Reinforcement_Learning,25
56709,657,Genetic_Algorithms,19
57119,658,Genetic_Algorithms,17
57764,659,Theory,21
57773,660,Rule_Learning,20
57922,661,Theory,24
57932,662,Neural_Networks,21
57948,663,Theory,23
58268,664,Rule_Learning,22
58436,665,Case_Based,22
58453,666,Genetic_Algorithms,19
58454,667,Case_Based,14
58540,668,Reinforcement_Learning,18
58552,669,Neural_Networks,22
58758,670,Genetic_Algorithms,16
59045,671,Theory,22
59244,672,Case_Based,18
59626,673,Theory,24
59715,674,Genetic_Algorithms,16
59772,675,Neural_Networks,21
59798,676,Neural_Networks,18
60159,677,Neural_Networks,22
60169,678,Neural_Networks,19
60170,679,Neural_Networks,20
60560,680,Neural_Networks,18
60682,681,Case_Based,21
61069,682,Genetic_Algorithms,19
61073,683,Genetic_Algorithms,21
61312,684,Genetic_Algorithms,20
61417,685,Rule_Learning,20
62274,686,Theory,18
62329,687,Genetic_Algorithms,22
62333,688,Neural_Networks,24
62347,689,Reinforcement_Learning,21
62389,690,Case_Based,21
62417,691,Probabilistic_Methods,23
62607,692,Rule_Learning,21
62634,693,Genetic_Algorithms,20
62676,694,Neural_Networks,20
62718,695,Case_Based,21
63477,696,Case_Based,12
63486,697,Theory,20
63549,698,Neural_Networks,24
63812,699,Case_Based,19
63832,700,Genetic_Algorithms,23
63835,701,Case_Based,20
63915,702,Neural_Networks,21
63931,703,Rule_Learning,17
64271,704,Case_Based,9
64319,705,Theory,26
64484,706,Reinforcement_Learning,3
64519,707,Reinforcement_Learning,16
65057,708,Probabilistic_Methods,15
65074,709,Probabilistic_Methods,25
65212,710,Neural_Networks,6
65650,711,Theory,18
65653,712,Theory,19
66556,713,Genetic_Algorithms,17
66563,714,Genetic_Algorithms,14
66564,715,Genetic_Algorithms,20
66594,716,Theory,16
66596,717,Rule_Learning,19
66751,718,Theory,10
66782,719,Rule_Learning,7
66794,720,Probabilistic_Methods,19
66805,721,Genetic_Algorithms,18
66809,722,Reinforcement_Learning,23
66982,723,Neural_Networks,18
66986,724,Neural_Networks,25
66990,725,Neural_Networks,22
67245,726,Neural_Networks,21
67246,727,Neural_Networks,17
67292,728,Neural_Networks,20
67415,729,Theory,21
67584,730,Probabilistic_Methods,23
67633,731,Case_Based,17
68115,732,Case_Based,24
68224,733,Neural_Networks,14
68463,734,Rule_Learning,22
68495,735,Theory,19
68505,736,Theory,19
69198,737,Neural_Networks,25
69284,738,Genetic_Algorithms,22
69296,739,Genetic_Algorithms,18
69392,740,Neural_Networks,10
69397,741,Theory,19
69418,742,Neural_Networks,23
